driver_id,epoch_id,is_fatigued,Attention,Meditation,BlinkStrength,Delta,Theta,AlphaLow,AlphaHigh,BetaLow,BetaHigh,GammaLow,GammaMid,SignalQuality
0,0,0,77,46,48,237306,259932,0.2727953471203853,0.05435352015903104,0.006077719800816232,0.01304759716376602,40356,9871,11
0,1,0,75,27,37,282869,275992,0.2796009948428914,0.07680766889130351,0.008462591927087473,0.010248306945395023,20390,16576,14
0,2,0,87,37,46,364985,173733,0.09136104616954528,0.02545422968772998,0.003445725380108498,0.011189143604975582,26559,13470,10
0,3,0,62,33,45,264979,120663,0.1906615678396777,0.044248415114524466,0.004723954426048347,0.010274836417050265,20155,16135,13
0,4,0,48,46,32,249502,164638,0.40865096244548976,0.10979999079465359,0.015920825706563196,0.010988691450197745,46917,13711,0
0,5,0,77,48,34,241294,240819,62.61656173029933,26.829156329458723,6.846913584813056,0.4289499010655974,24683,10403,7
0,6,0,79,53,49,323298,162960,347.6923948865427,124.60266971107977,18.44080514435123,2.3665550569517775,46632,2034,13
0,7,0,97,45,67,282430,254136,98.95935369557844,26.850671338015125,2.0073569581341277,0.840954747458925,29734,8900,14
0,8,0,55,42,58,368247,162854,66.86092379963299,46.0841708235513,10.253732965302774,3.3841737441541895,25065,23736,0
0,9,0,92,67,23,335745,172132,1.703905538458574,0.9031771814891014,0.20913020239162372,0.011331575255352595,37988,19814,4
0,10,0,100,17,23,8461,191356,0.2083904068396697,0.05330433927726434,0.006606578119073498,0.01136963781864231,29607,11255,4
0,11,0,69,65,31,124847,247229,0.13676464602094104,0.050536163376953935,0.004757784813740946,0.01319003720320356,44100,12325,12
0,12,0,55,35,41,249923,120819,0.40950811297198286,0.10121042400496782,0.005302516394225221,0.012046349074711865,27834,12489,10
0,13,0,68,48,40,398000,213999,0.186088789686032,0.028352198354787684,0.003201001715865048,0.011298612331096037,25482,20451,6
0,14,0,75,35,58,234832,213103,0.0726878554646071,0.024424852582369407,0.006149702347225027,0.010916379932506694,25442,19545,1
0,15,0,83,29,59,337459,150429,0.37784497435051145,0.07536350173191243,0.005218282504274512,0.011924605658318736,42427,19818,4
0,16,0,66,47,40,359849,217803,0.06984200755171359,0.03280479991166209,0.006562812410629798,0.010869028672394997,32508,9935,13
0,17,0,98,55,36,354026,191004,0.19534363596400922,0.029860095817102708,0.003962532316456089,0.010993395486170938,22625,23928,7
0,18,0,58,47,47,245257,143439,0.2021656681959165,0.09065828796667987,0.004113162975298918,0.01062650914650834,15644,13546,4
0,19,0,48,31,55,185191,196303,0.03593209896397097,0.02474302477584495,0.006773929159044359,0.010958374000624698,32112,19188,9
0,20,0,91,94,48,168777,147886,0.21681399948988628,0.07326304130610495,0.009741818276221274,0.009895917489881199,20618,16460,4
0,21,0,40,57,33,597093,167975,0.25057355577998963,0.05298423753645333,0.008651081461281088,0.010310988187696834,12320,6447,4
0,22,0,71,54,30,345542,243997,19.0076398733046,6.015688037128957,1.2087306785143133,0.33937854172596316,40887,12424,9
